"","article","zone","word","time","length","log_gmean_freq","is_first","is_last","has_punct","has_num","has_punct_prev_1","has_num_prev_1","sent_id","tokenN_in_sent","pos","length_prev_1","length_prev_2","log_gmean_freq_prev_1","log_gmean_freq_prev_2"
0,1,1,"If",369.0119047619048,2,10.427268887462334,True,False,False,False,False,False,0,0,"mark",4.581220748829953,4.581220748829953,11.29753723775519,11.29753723775519
1,1,2,"you",368.183908045977,3,10.196455629417146,False,False,False,False,False,False,0,1,"nsubj",2.0,4.581220748829953,10.427268887462334,11.29753723775519
2,1,3,"were",344.3181818181818,4,12.777280979501404,False,False,False,False,False,False,0,2,"advcl",3.0,2.0,10.196455629417146,10.427268887462334
3,1,4,"to",354.63953488372096,2,14.49430827566318,False,False,False,False,False,False,0,3,"mark",4.0,3.0,12.777280979501404,10.196455629417146
4,1,5,"journey",349.6741573033708,7,8.260751354700513,False,False,False,False,False,False,0,4,"xcomp",2.0,4.0,14.49430827566318,12.777280979501404
5,1,6,"to",376.3707865168539,2,14.49430827566318,False,False,False,False,False,False,0,5,"case",7.0,2.0,8.260751354700513,14.49430827566318
6,1,7,"the",327.3103448275862,3,15.52756444324176,False,False,False,False,False,False,0,6,"det",2.0,7.0,14.49430827566318,8.260751354700513
7,1,8,"North",365.4943820224719,5,10.316391589741292,False,False,False,False,False,False,0,7,"nmod",3.0,2.0,15.52756444324176,14.49430827566318
8,1,9,"of",344.9310344827586,2,14.81543924991672,False,False,False,False,False,False,0,8,"case",5.0,3.0,10.316391589741292,15.52756444324176
9,1,10,"England,",400.2696629213483,8,10.608085248865844,False,False,True,False,False,False,0,10,"punct",2.0,5.0,14.81543924991672,10.316391589741292
10,1,11,"you",372.59090909090907,3,10.196455629417146,False,False,False,False,True,False,0,11,"nsubj",8.0,2.0,10.608085248865844,14.81543924991672
11,1,12,"would",350.3793103448276,5,11.7418363531785,False,False,False,False,False,False,0,12,"aux",3.0,8.0,10.196455629417146,10.608085248865844
12,1,13,"come",319.08045977011494,4,9.40689351101686,False,False,False,False,False,False,0,13,"root",5.0,3.0,11.7418363531785,10.196455629417146
13,1,14,"to",355.9310344827586,2,14.49430827566318,False,False,False,False,False,False,0,14,"case",4.0,5.0,9.40689351101686,11.7418363531785
14,1,15,"a",343.8588235294118,1,14.325739803932372,False,False,False,False,False,False,0,15,"det",2.0,4.0,14.49430827566318,9.40689351101686
15,1,16,"valley",330.7325581395349,6,7.970394907191429,False,False,False,False,False,False,0,16,"nmod",1.0,2.0,14.325739803932372,14.49430827566318
16,1,17,"that",346.77906976744185,4,13.426455564376912,False,False,False,False,False,False,0,17,"nsubjpass",6.0,1.0,7.970394907191429,14.325739803932372
17,1,18,"is",360.28735632183907,2,13.146062325742149,False,False,False,False,False,False,0,18,"auxpass",4.0,6.0,13.426455564376912,7.970394907191429
18,1,19,"surrounded",337.04651162790697,10,8.130059039992796,False,False,False,False,False,False,0,19,"acl:relcl",2.0,4.0,13.146062325742149,13.426455564376912
19,1,20,"by",359.3647058823529,2,13.302278708223811,False,False,False,False,False,False,0,20,"case",10.0,2.0,8.130059039992796,13.146062325742149
20,1,21,"moors",395.4302325581396,5,8.573043961814495,False,False,False,False,False,False,0,21,"nmod",2.0,10.0,13.302278708223811,8.130059039992796
21,1,22,"as",414.5977011494253,2,13.418144563312724,False,False,False,False,False,False,0,22,"advmod",5.0,2.0,8.573043961814495,13.302278708223811
22,1,23,"high",390.953488372093,4,10.547812068398503,False,False,False,False,False,False,0,23,"amod",2.0,5.0,13.418144563312724,8.573043961814495
23,1,24,"as",434.03614457831327,2,13.418144563312724,False,False,False,False,False,False,0,24,"case",4.0,2.0,10.547812068398503,13.418144563312724
24,1,25,"mountains.",457.3452380952381,10,11.404697699252036,False,True,True,False,False,False,0,26,"punct",2.0,4.0,13.418144563312724,10.547812068398503
25,1,26,"It",399.9285714285714,2,12.68467668499508,True,False,False,False,True,False,1,0,"nsubj",4.581220748829953,4.581220748829953,11.29753723775519,11.29753723775519
